timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1577931079800,1351,Login,200,,Login Thread Group 1-195,text,true,,816,36,36,http://152.136.173.30:8080/customer/login,,1351,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,238
1577931079800,1351,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Login Thread Group 1-195,,true,,816,36,36,null,,1351,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,8,238
1577931079795,1370,Login,200,,Login Thread Group 1-194,text,true,,800,37,37,http://152.136.173.30:8080/customer/login,,1370,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,244
1577931079795,1370,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Login Thread Group 1-194,,true,,800,37,37,null,,1370,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,14,244
1577931079791,1388,Login,200,,Login Thread Group 1-193,text,true,,817,37,37,http://152.136.173.30:8080/customer/login,,1388,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,246
1577931079790,1388,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Login Thread Group 1-193,,true,,817,37,37,null,,1388,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,16,246
1577931079811,1375,Login,200,,Login Thread Group 1-197,text,true,,801,37,37,http://152.136.173.30:8080/customer/login,,1375,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,227
1577931079806,1377,Login,200,,Login Thread Group 1-196,text,true,,809,37,37,http://152.136.173.30:8080/customer/login,,1377,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,234
1577931079803,1387,Login,200,,Login Thread Group 1-191,text,true,,806,37,37,http://152.136.173.30:8080/customer/login,,1387,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,236
1577931079811,1375,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Login Thread Group 1-197,,true,,801,37,37,null,,1375,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,10,227
1577931079805,1377,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Login Thread Group 1-196,,true,,809,37,37,null,,1377,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,14,234
1577931079803,1387,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Login Thread Group 1-191,,true,,806,37,37,null,,1387,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,7,236
1577931079787,1444,Login,200,,Login Thread Group 1-192,text,true,,815,38,38,http://152.136.173.30:8080/customer/login,,1444,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,250
