timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1577934283002,185,Login,200,,Read News Thread Group(获取新闻) 1-50,text,true,,815,1,1,http://152.136.173.30:8080/customer/login,,185,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,32
1577934283189,39,GetNewsCount,200,,Read News Thread Group(获取新闻) 1-50,text,true,,554,2,2,http://152.136.173.30:8080/news/get-news-count?userId=537,,39,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577934283228,243,GetNewsList(10),200,,Read News Thread Group(获取新闻) 1-50,text,true,,3532,3,3,http://152.136.173.30:8080/news/get-news-list?offset=0&limit=10&userId=537,,243,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577934283201,270,Login,200,,Read News Thread Group(获取新闻) 1-49,text,true,,817,3,3,http://152.136.173.30:8080/customer/login,,270,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,37
1577934283477,41,GetNewsList(5),200,,Read News Thread Group(获取新闻) 1-50,text,true,,2039,3,3,http://152.136.173.30:8080/news/get-news-list?offset=0&limit=5&userId=537,,41,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577934283001,508,Read News,200,"Number of samples in transaction : 4, number of failing samples : 0",Read News Thread Group(获取新闻) 1-50,,true,,6940,3,3,null,,508,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,9,32
1577934283478,43,GetNewsCount,200,,Read News Thread Group(获取新闻) 1-49,text,true,,554,3,3,http://152.136.173.30:8080/news/get-news-count?userId=538,,43,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577934283523,116,GetNewsList(10),200,,Read News Thread Group(获取新闻) 1-49,text,true,,3532,4,4,http://152.136.173.30:8080/news/get-news-list?offset=0&limit=10&userId=538,,116,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577934283399,319,Login,200,,Read News Thread Group(获取新闻) 1-48,text,true,,800,4,4,http://152.136.173.30:8080/customer/login,,319,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,110
1577934283640,101,GetNewsList(5),200,,Read News Thread Group(获取新闻) 1-49,text,true,,2039,4,4,http://152.136.173.30:8080/news/get-news-list?offset=0&limit=5&userId=538,,101,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577934283200,530,Read News,200,"Number of samples in transaction : 4, number of failing samples : 0",Read News Thread Group(获取新闻) 1-49,,true,,6942,4,4,null,,530,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,11,37
1577934283720,144,GetNewsCount,200,,Read News Thread Group(获取新闻) 1-48,text,true,,554,5,5,http://152.136.173.30:8080/news/get-news-count?userId=539,,144,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577934283518,346,Login,200,,Read News Thread Group(获取新闻) 1-50,text,true,,816,5,5,http://152.136.173.30:8080/customer/login,,346,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,32
1577934283600,264,Login,200,,Read News Thread Group(获取新闻) 1-47,text,true,,806,5,5,http://152.136.173.30:8080/customer/login,,264,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,39
