timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1577936158343,164,Login,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-50,text,true,,815,1,1,http://152.136.173.30:8080/customer/login,,163,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,33
1577936158342,164,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Stadium Booking Thread Group(浏览场馆/预定场馆) 1-50,,true,,815,1,1,null,,163,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,6,33
1577936158512,39,Read Stadium Message,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-50,text,true,,777,2,2,http://152.136.173.30:8080/stadium/message?id=4&customerId=537,,39,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936158552,39,Get Stadium Idle Time,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-50,text,true,,562,2,2,http://152.136.173.30:8080/booking/get-empty-time?stadiumId=4&daysAfterToday=1&customerId=537,,39,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936158591,149,Get Stadium Items,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-50,text,true,,2384,2,2,http://152.136.173.30:8080/stadium/items?customerId=537,,149,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936158512,227,Stadium Booking,200,"Number of samples in transaction : 3, number of failing samples : 0",Stadium Booking Thread Group(浏览场馆/预定场馆) 1-50,,true,,3723,2,2,null,,227,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,3,0
1577936158540,201,Login,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-49,text,true,,817,3,3,http://152.136.173.30:8080/customer/login,,201,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,37
1577936158540,201,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Stadium Booking Thread Group(浏览场馆/预定场馆) 1-49,,true,,817,3,3,null,,201,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,5,37
1577936158746,78,Read Stadium Message,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-49,text,true,,749,3,3,http://152.136.173.30:8080/stadium/message?id=1&customerId=538,,77,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936158824,69,Get Stadium Idle Time,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-49,text,true,,563,3,3,http://152.136.173.30:8080/booking/get-empty-time?stadiumId=1&daysAfterToday=0&customerId=538,,69,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936158894,90,Get Stadium Items,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-49,text,true,,2384,4,4,http://152.136.173.30:8080/stadium/items?customerId=538,,90,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936158746,237,Stadium Booking,200,"Number of samples in transaction : 3, number of failing samples : 0",Stadium Booking Thread Group(浏览场馆/预定场馆) 1-49,,true,,3696,4,4,null,,236,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,3,0
1577936158743,267,Login,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-50,text,true,,816,4,4,http://152.136.173.30:8080/customer/login,,267,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,37
1577936158743,267,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Stadium Booking Thread Group(浏览场馆/预定场馆) 1-50,,true,,816,4,4,null,,267,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,37
1577936158742,275,Login,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-48,text,true,,800,4,4,http://152.136.173.30:8080/customer/login,,275,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,38
1577936158741,275,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Stadium Booking Thread Group(浏览场馆/预定场馆) 1-48,,true,,800,4,4,null,,275,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,3,38
1577936159011,58,Read Stadium Message,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-50,text,true,,795,4,4,http://152.136.173.30:8080/stadium/message?id=6&customerId=540,,58,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936159019,98,Read Stadium Message,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-48,text,true,,749,4,4,http://152.136.173.30:8080/stadium/message?id=1&customerId=539,,98,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936159070,91,Get Stadium Idle Time,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-50,text,true,,562,5,5,http://152.136.173.30:8080/booking/get-empty-time?stadiumId=6&daysAfterToday=2&customerId=540,,91,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936159118,292,Get Stadium Idle Time,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-48,text,true,,562,6,6,http://152.136.173.30:8080/booking/get-empty-time?stadiumId=1&daysAfterToday=1&customerId=539,,292,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936159161,250,Get Stadium Items,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-50,text,true,,2384,6,6,http://152.136.173.30:8080/stadium/items?customerId=540,,250,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577936159011,399,Stadium Booking,200,"Number of samples in transaction : 3, number of failing samples : 0",Stadium Booking Thread Group(浏览场馆/预定场馆) 1-50,,true,,3741,6,6,null,,399,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,2,0
1577936158986,425,Login,200,,Stadium Booking Thread Group(浏览场馆/预定场馆) 1-49,text,true,,809,6,6,http://152.136.173.30:8080/customer/login,,425,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,37
1577936158986,425,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Stadium Booking Thread Group(浏览场馆/预定场馆) 1-49,,true,,809,6,6,null,,425,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,2,37
