timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1577937130509,165,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-50,text,true,,813,1,1,http://152.136.173.30:8080/customer/login,,165,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,32
1577937130509,165,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-50,,true,,813,1,1,null,,165,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,3,32
1577937130677,317,Modify Password,200,,User Infomation Manage Thread Group(个人信息管理) 1-50,text,true,,544,3,3,http://152.136.173.30:8080/customer/change-password,,317,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577937130677,317,Modify Password,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-50,,true,,544,3,3,null,,317,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,1,0
1577937130713,284,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-49,text,true,,815,3,3,http://152.136.173.30:8080/customer/login,,284,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,98
1577937130712,284,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-49,,true,,815,3,3,null,,284,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,6,98
1577937130995,98,Modify User Info,200,,User Infomation Manage Thread Group(个人信息管理) 1-50,text,true,,544,3,3,http://152.136.173.30:8080/customer/save-user-info,,98,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577937130995,98,Modify User Infomation,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-50,,true,,544,3,3,null,,98,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,0,0
1577937130910,206,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-48,text,true,,798,4,4,http://152.136.173.30:8080/customer/login,,206,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,31
1577937130909,206,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-48,,true,,798,4,4,null,,206,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,5,31
1577937131093,486,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-50,text,true,,814,6,6,http://152.136.173.30:8080/customer/login,,485,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,33
1577937131093,486,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-50,,true,,814,6,6,null,,485,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,0,33
1577937131112,480,Login,200,,User Infomation Manage Thread Group(个人信息管理) 1-47,text,true,,804,6,6,http://152.136.173.30:8080/customer/login,,480,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,31
1577937131111,480,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",User Infomation Manage Thread Group(个人信息管理) 1-47,,true,,804,6,6,null,,480,ISO-8859-1,1,0,JJAYCHENdeMacBook-Pro.local,5,31
1577937131002,613,Modify Password,200,,User Infomation Manage Thread Group(个人信息管理) 1-49,text,true,,544,6,6,http://152.136.173.30:8080/customer/change-password,,612,UTF-8,1,0,JJAYCHENdeMacBook-Pro.local,0,0
